#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
5976,HD 62386,*,-0.08216845441,2.022932955,5.6871,6.90
5977,HD 18121,*,-1.178488017,0.7455630459,6.3399,6.56
5978,HD 198626,PM*,0.5395281116,5.456775424,8.4523,6.82
5979,HD 51324,*,0.9175620134,1.831463812,2.3715,6.636
5980,HD 18290,PM*,-0.4416495708,0.7657354818,7.6018,6.58
5981,HD 43955,SB*,-0.3484894306,1.650334506,3.4972,5.501
5982,HD 134606,PM*,-1.230799619,3.993534741,37.302,6.854
5983,HD 64379A,PM*,-0.6057241949,2.06062756,54.5631,5.12
5984,HD 40439,*,0.5783485985,1.571844967,3.3337,6.844
5985,HD 72322,*,-0.9632631222,2.223577768,4.9919,6.346
5986,HD 211374,*,1.33451161,5.81405499,3.282,6.90
5987,HD 216106,PM*,0.8897114146,5.974666816,15.2659,6.750
5988,HD 61750,*,-0.2051206812,2.008657263,4.698,6.42
5989,HD 65301,*,1.030571586,2.100269433,23.0228,5.772
5990,* A Hya A,*,0.6974907833,2.510546545,~,6.94
5991,HD 44972,*,-0.8021592079,1.668476509,3.2051,6.84
5992,HD 131041B,SB*,0.8503477173,3.882011446,14.656,6.620
5993,HD 157290,*,-1.098214316,4.566656449,2.9116,6.96
5994,HD 3690,*,0.3741723537,0.1742108812,7.5057,5.428
5995,HD 101498,*,-1.089651034,3.055500898,5.2376,6.90
5996,HD 222275,Em*,1.084459593,6.190763303,0.9994,6.606
5997,HD 166046,*,0.4554843835,4.746532177,15.6586,5.79
5998,HD 166865,SB*,1.39627818,4.712645576,22.4338,5.939
5999,HD 106057,*,0.3585266168,3.19462809,9.0098,5.55
6000,HD 205348,*,-1.215275779,5.664831226,4.3426,6.765
6001,HD 50223,PM*,-0.8135775791,1.788570973,39.6665,5.14
6002,HD 178619,SB*,0.2941108556,5.012018646,13.3904,6.647
6003,HD 33262,PM*,-1.003087927,1.333042898,85.5233,4.708
6004,HD 103498,*,0.8110504622,3.120600009,5.8915,6.965
6005,HD 129899,a2*,-1.346974795,3.889905202,3.5129,6.44
6006,HD 199169,V*,0.4896979137,5.474053515,5.3203,5.01
6007,HD 22648,*,1.301013175,0.9822647744,4.5987,6.730
6008,HD 117818,PM*,-0.1774126946,3.547241467,11.6520,5.21
6009,HD 216402,PM*,-0.1755603651,5.989861918,26.0942,6.73
6010,HD 41599,*,0.6294579024,1.605410538,5.5823,6.95
6011,HD 64042A,*,-0.4281040483,2.055130982,6.2404,6.48
6012,HD 134190,PM*,0.9521873758,3.954386477,12.002,5.25
6013,HD 39781,PM*,1.053827637,1.565432417,10.9699,6.85
6014,HD 105121,V*,-1.283808055,3.168576399,2.8656,6.519
6015,HD 150416,*,-0.3096592227,4.370186892,8.4818,4.923
6016,HD 36139,*,-0.000371004294,1.438264411,6.8081,6.871
6017,NGC 1981,OpC,-0.07829547024,1.463423671,2.5387,4.2
6018,HD 196642,*,0.6689614293,5.399145795,9.2545,6.202
6019,HD 48994,PM*,0.3873666167,1.776824924,6.4275,6.98
6020,HD 1256,Ro*,-0.3527321123,0.07289238661,5.4878,6.491
6021,HD 213179,*,0.4671059229,5.88686665,3.7541,5.778
6022,HD 173540,*,-0.7052206339,4.920709861,8.4545,5.217
6023,HD 8681,*,-0.7771702717,0.3695672292,4.8636,6.247
6024,[SC96] Mis 803,*,-0.4895648552,4.697990014,~,5.75
6025,HD 186938,**,-0.3657791261,5.183626225,3.4635,6.67
6026,HD 128184,*,0.8165782488,3.813909552,7.8333,6.507
6027,HD 17879,SB*,0.9208787781,0.7603437962,12.3726,3.96
6028,HD 118214,*,0.9660124199,3.552276291,10.83,5.588
6029,HD 182635,PM*,0.6362090552,5.079348407,9.629,6.430
6030,HD 221662,V*,0.3637428945,6.169410993,2.4947,6.111
6031,HD 42084,*,0.8361309645,1.619943123,10.3890,6.85
6032,HD 194012,PM*,0.2539645626,5.335789262,38.4009,6.152
6033,HD 138905,**,-0.2581260896,4.082003602,19.99,3.91
6034,HD 47475,*,-0.7253088964,1.731604643,1.835,6.338
6035,HD 196768,*,1.451813936,5.345324905,4.3472,6.72
6036,HD 174105,Be*,0.2686783767,4.92347572,2.296,6.93
6037,HD 31764,Be*,0.2538275915,1.304590796,2.5850,6.058
6038,HD 142114B,*,-0.4420421861,4.160905895,7.5168,6.97
6039,HD 12296,HB*,-0.733571176,0.5220581634,11.0072,5.563
6040,HD 77002B,*,-1.033699077,2.343358161,5.2588,6.87
6041,HD 10615,*,-1.060974088,0.4441839734,8.1375,5.692
6042,HD 168415,PM*,-0.2763152363,4.800294766,6.3188,5.371
6043,HD 179761,a2*,0.04003257001,5.034016887,4.7730,5.15
6044,HD 173715,*,-0.7623605734,4.925500209,8.8955,5.456
6045,HD 197018B,*,0.7082486935,5.408580286,3.1824,6.83
6046,HD 40020,PM*,0.2010804112,1.556939121,9.6083,5.884
6047,HD 110746,PM*,-0.04961205088,3.33439165,12.3514,6.76
6048,HD 22136,V*,0.8218934816,0.9423680045,5.7665,6.873
6049,HD 113139,**,0.9837781533,3.406569958,39.30,4.93
6050,HD 192107,*,-0.01761671446,5.293720691,5.1698,5.47
6051,HD 215729,*,-1.227803951,5.974659858,10.2089,6.333
6052,HD 35184,Pu*,-1.284361192,1.376253011,8.7050,6.50
6053,HD 102397,PM*,-0.626693023,3.085382047,9.3952,6.147
6054,HD 22468,RS*,0.0102583845,0.9459168531,33.9783,5.90
6055,HD 215869,**,0.9316882288,5.966035893,5.1148,6.86
6056,HD 166596,Ro*,-0.7214512254,4.770035637,1.7423,5.462
6057,HD 135153,*,-0.5501124884,3.990791316,1.5243,4.918
6058,HD 155644,*,0.1847458186,4.504971455,3.5584,5.340
6059,HD 90027,*,-0.4247027762,2.718296998,4.5755,6.81
6060,HD 152311,SB*,-0.3563229397,4.421879853,33.016,5.857
6061,HD 35991,*,-0.3730765705,1.429461054,7.9995,6.065
6062,HD 33875,PM*,-1.274747838,1.335852852,7.742,6.257
6063,HD 62044,RS*,0.5041123289,2.021580525,27.1210,4.29
6064,HD 24446,*,-0.1157807353,1.017262776,2.5636,6.556
6065,HD 3059,*,-0.5158892636,0.1469742772,6.228,5.541
6066,HD 63660,**,-0.4348007367,2.046520265,16.189,5.313
6067,HD 13122,dS*,1.046844939,0.5690870538,10.1865,6.635
6068,HD 105686,**,-0.6057120428,3.185411216,10.12,6.17
6069,HD 126504,PM*,-0.8051935789,3.783885029,20.6065,5.811
6070,HD 192850,*,0.388985879,5.307307095,4.7149,6.820
6071,HD 53510,*,0.160322292,1.857250343,4.6749,5.78
6072,HD 218829,*,1.173595419,6.064711227,5.5442,6.65
6073,HD 37016A,*,-0.07721893613,1.46333626,~,6.35
6074,HD 112048,SB*,-0.07373385252,3.375621425,10.0845,6.439
6075,HD 221588,LP*,0.8050100976,6.165119697,2.889,6.62
6076,HD 224175,PM*,0.8416023074,6.264832978,7.1627,6.68
6077,HD 57728,*,0.2680642239,1.933052799,3.9705,6.65
6078,[SC96] GC 254,*,-0.5334895565,4.693626691,~,6.95
6079,HD 213051,PM*,-0.0003585774118,5.885387422,34.4525,4.49
6080,HD 120702,*,0.742764293,3.622148853,11.4553,6.991
6081,HD 75629,*,-0.5142263443,2.312723548,4.7397,5.867
6082,HD 2262,PM*,-0.7623568617,0.1143337081,41.7228,3.94
6083,HD 209476,*,-0.5221419759,5.778773227,1.9132,6.46
6084,HD 60063,SB*,0.8496412674,1.985852126,16.7326,6.96
6085,HD 114376,*,0.6725431505,3.445718604,3.9234,6.28
6086,HD 185397,*,0.6735959827,5.136910574,5.5096,6.93
6087,HD 184151,PM*,0.4467399771,5.11421109,12.373,6.870
6088,HD 203486,V*,-0.0983198845,5.596472045,3.0864,6.95
6089,HD 39385,*,-0.4001507374,1.533607296,7.997,6.156
6090,HD 17606,SB*,0.5580322455,0.743657936,8.3027,6.580
6091,HD 24398,s*b,0.5564743853,1.021593751,3.8556,2.85
6092,HD 44394,V*,-0.2062513437,1.662820927,2.6002,6.32
6093,HD 209679,*,0.7739682718,5.777528441,5.5283,6.56
6094,HD 103578,SB*,0.2730885161,3.122723661,7.7561,5.522
6095,HD 207104,*,-0.6623879214,5.705378846,5.9366,6.78
6096,HD 37984,PM*,0.02573713827,1.494338705,10.6744,4.90
6097,HD 186440,*,0.5354302005,5.162509238,9.2550,6.075
6098,HD 9057,*,0.8204316781,0.3931427961,9.7947,5.261
6099,HD 115842,s*b,-0.9739057597,3.49417384,0.5828,6.09
6100,HD 117281,PM*,0.8829147172,3.526422446,7.1801,6.430
6101,HD 90602,*,0.7891019593,2.742822707,4.0348,6.357
6102,HD 84257,*,-0.3554509683,2.54604337,7.2646,6.58
6103,HD 70556,Y*O,-0.6367690111,2.18755528,2.3493,5.176
6104,HD 129293,*,-0.2135393412,3.848616003,4.7266,6.82
6105,HD 148605,*,-0.4383433035,4.320597126,7.9402,4.79
6106,HD 191630,S*,-1.08697712,5.298950405,1.8489,6.76
6107,HD 196317,PM*,-1.097948524,5.409921338,6.4142,6.225
6108,HD 173000,*,0.2652793339,4.898336065,8.8792,6.920
6109,HD 12846,PM*,0.4247082809,0.551978089,42.1141,6.885
6110,HD 49333,a2*,-0.3667879803,1.775980399,4.6155,6.08
6111,HD 147365,PM*,0.6930455225,4.275703399,37.04,5.480
6112,HD 127672,*,-0.5814749162,3.81117785,7.78,6.93
6113,HD 120047,PM*,0.7171338793,3.605089968,19.2182,5.877
6114,HD 190050,*,0.215700711,5.247716797,3.2217,6.723
6115,HD 109475,*,-1.07758035,3.296479564,11.2384,6.600
6116,HD 126341,bC*,-0.789262729,3.779235928,3.9564,4.553
6117,HD 208108,*,0.3432795019,5.731762249,15.1464,5.676
6118,HD 219823,*,-0.4954613078,6.104528418,3.7959,6.49
6119,* lam Cas B,*,0.9515918077,0.1386309353,~,5.63
6120,HD 55557,*,0.1865893323,1.892935046,5.6399,6.94
6121,HD 145316,PM*,0.02794446084,4.233318675,7.1026,6.61
6122,HD 34332,*,0.7062496302,1.390469435,4.8885,6.199
6123,HD 48640,s*r,0.4306158061,1.768855275,0.8023,6.93
6124,HD 25639,*,1.087865594,1.081478208,0.8539,6.86
6125,HD 101445,**,0.01661838219,3.056077325,8.141,6.90
6126,HD 201906,*,-1.315048961,5.57750855,9.1568,6.605
6127,HD 74461,*,-1.301560721,2.259913976,7.0370,6.61
6128,HD 38973,PM*,-0.9288524299,1.511745322,34.8288,6.63
6129,HD 74738,PM*,0.5020449949,2.298015388,9.6720,6.57
6130,HD 99073,V*,0.8483307818,2.987022668,2.1183,6.77
6131,HD 6211,PM*,0.9163355886,0.2794265242,5.0346,5.977
6132,HD 99322,PM*,-0.6294191693,2.991018265,12.4363,5.219
6133,HD 148349,LP*,-0.1326088796,4.309760212,5.8407,5.23
6134,HD 215724,PM*,-0.6671015551,5.968091465,13.9152,6.710
6135,HD 8877,*,-0.162265906,0.3816668714,3.6017,6.85
6136,HD 29526,PM*,0.8430093745,1.227848474,10.0459,5.652
6137,HD 172190A,V*,0.08473212586,4.881093284,6.9512,6.73
6138,HD 75869,*,-0.6742746461,2.317936417,1.6736,6.982
6139,HD 203137,*,0.8738749556,5.579630393,1.9428,7.00
6140,HD 222641,V*,0.7852535607,6.2057121,4.2001,6.410
6141,HD 97938,*,0.2201483791,2.949340129,5.2640,6.833
6142,HD 104776,*,-0.9337198371,3.158478432,4.1565,6.99
6143,HD 66812,Pe*,-0.7495897395,2.10963804,3.3065,6.271
6144,HD 176903,*,-0.3334106469,4.987787213,12.9315,6.357
6145,HD 22892,PM*,-0.1577624809,0.9607161721,8.5168,6.90
6146,HD 79456,*,-0.5177408916,2.414484906,3.4433,6.38
6147,HD 27516,**,-0.0229753284,1.136566027,10.54,6.78
6148,HD 33519,*,-1.366593283,1.309959564,3.4534,6.279
6149,HD 90393,*,-0.7411960319,2.728328807,5.1696,6.180
6150,HD 14890,*,-0.6558273929,0.6244349996,3.1036,6.496
6151,HD 13596,PM*,0.26668392,0.5805622631,5.5659,5.70
6152,HD 41245,PM*,-0.6804921604,1.579985766,7.4569,6.83
6153,HD 128917,PM*,-1.023039253,3.848158668,22.296,6.204
6154,HD 41701,Pe*,-0.7888300618,1.590459953,5.3848,6.91
6155,HD 205420,PM*,0.3971413214,5.648610837,15.6277,6.451
6156,HD 160823,SB*,0.07621498538,4.633547296,2.679,6.992
6157,HD 224533,PM*,-0.06206338123,6.277394548,13.2633,4.886
6158,HD 29388,BS?,0.2183552971,1.213691918,22.031,4.27
6159,HD 71093,PM*,0.4868348224,2.209856344,7.5571,5.57
6160,HD 4301,PM*,-0.08079407822,0.1981039667,3.479,6.16
6161,HD 135263,PM*,0.4011358937,3.986031696,9.048,6.298
6162,HD 70092,*,0.1640629816,2.183784367,4.2557,6.95
6163,HD 218660,*,0.5178327969,6.063017034,4.2327,6.59
6164,FAUST 3289,*,0.152686639,3.303471942,~,6.6
6165,HD 65714,*,0.4431886189,2.098458297,5.3076,5.853
6166,HD 223509,PM*,-0.1937867783,6.23998852,15.422,6.77
6167,HD 14171,*,1.122891829,0.6117988963,7.2398,6.581
6168,HD 28911,PM*,0.2312890161,1.194579123,21.8171,6.597
6169,HD 67959,*,0.2553324828,2.142310537,5.9773,6.207
6170,HD 105937,Pu*,-0.9140017042,3.192434076,12.4692,3.96
6171,HD 213296,PM*,-0.4550728058,5.894396716,7.9457,6.430
6172,HD 18829,*,-0.9408817259,0.7835473735,4.0965,6.85
6173,HD 158643,Be*,-0.4182270178,4.587667306,7.9538,4.81
6174,HD 180093,RC*,-0.5850747998,5.046384412,0.588,6.25
6175,HD 37286,*,-0.5010493573,1.466825273,17.0976,6.256
6176,HD 141653,PM*,1.09256837,4.130613026,11.3856,5.194
6177,HD 46781,*,0.2931634669,1.728030619,12.1446,6.72
6178,HD 172741,**,0.6696335476,4.887809174,6.9325,6.489
6179,HD 26491,SB*,-1.120891504,1.079313895,42.3820,6.38
6180,HD 189695,*,0.1493606762,5.240276629,4.9878,5.91
6181,HD 16970A,PM*,0.05647578536,0.712533662,43.5957,3.540
6182,HD 49567,*,0.0174893757,1.784865038,1.3235,6.150
6183,HD 40062,PM*,0.9655310495,1.569765426,8.5772,6.410
6184,HD 16555,**,-0.9170502496,0.6868124136,25.207,5.293
6185,V* V910 Cen,s*r,-1.074739917,3.035778712,0.4375,6.859
6186,HD 756,PM*,0.4096593159,0.05245986011,6.5182,6.58
6187,HD 50763,PM*,0.8151621691,1.819218478,9.5558,5.877
6188,HD 153372,*,1.387601471,4.396644453,2.8797,6.80
6189,HD 37711,**,0.2885752852,1.489181653,5.13,4.836
6190,HD 46190,Pu*,-1.084720822,1.692141586,11.9421,6.61
6191,HD 39891,**,-0.5087158538,1.545635318,18.4826,6.334
6192,HD 112192,*,-0.7381151572,3.3820831,2.5851,6.809
6193,HD 30562,PM*,-0.09903074649,1.259283059,38.2495,5.77
6194,[SC93] 127,*,0.1233371823,1.645409152,~,6.38
6195,HD 1013,PM*,0.3526734963,0.06371646466,9.4052,4.800
6196,HD 165777,PM*,0.1669206145,4.744458303,38.1263,3.73
6197,HD 43378,EB*,1.029935913,1.656417281,20.4686,4.434
6198,HD 29297,*,0.7372265676,1.21688179,6.7406,6.89
6199,HD 9895,PM*,-0.6972088362,0.4181929807,26.8061,6.43
6200,HD 77020,*,-0.8477571962,2.347144871,3.6868,5.876
6201,HD 168287,*,-0.7640150009,4.804118465,13.6447,6.65
6202,HD 42633,*,1.047179482,1.639194088,4.9142,5.351
6203,HD 168646,*,-0.4961965013,4.808392314,5.2816,6.154
6204,HD 74343,*,-1.399032474,2.241008931,4.5033,7.00
6205,HD 66778,*,-0.06101342206,2.116112264,5.1449,6.98
6206,HD 4490,dS*,0.3417128827,0.2060671237,9.7863,6.101
6207,HD 30144,PM*,0.9704486483,1.257147874,19.2979,6.320
6208,HD 159564,*,-0.1068199219,4.606400623,10.44,6.61
6209,HD 192289,*,0.2838816871,5.295239571,1.4274,6.86
6210,HD 10009,SB*,-0.1641276576,0.4259844177,22.9702,6.24
6211,HD 55151,*,-1.201442444,1.859816526,6.4247,6.474
6212,HD 203112,*,0.6937569019,5.580693043,6.4883,6.672
6213,HD 152534,*,-0.4103678954,4.428104807,7.4043,6.75
6214,HD 32515,PM*,-0.554514388,1.319381972,10.0579,5.903
6215,HD 26262,**,-0.7490390883,1.079576461,7.938,6.601
6216,HD 25291,*,1.032458404,1.066626188,1.5558,5.12
6217,HD 195066,*,0.9885317052,5.35114122,4.5143,6.369
6218,HD 19058,LP*,0.6778907019,0.8079851859,10.60,3.39
6219,HD 46365,*,-0.7141233324,1.706051679,5.5502,6.179
6220,HD 137866,*,-0.9315574087,4.061392677,5.1997,6.77
6221,HD 154126,*,0.5564825316,4.460560005,8.137,6.383
6222,HD 36384,V*,1.309762684,1.482344988,4.7084,6.170
6223,HD 188293,*,-0.1435932871,5.212545982,7.2445,5.71
6224,HD 136664,*,-0.6433019782,4.028027246,6.4855,4.54
6225,HD 212132,PM*,-0.8016033422,5.860523796,25.2139,5.62
6226,HD 50860,*,-0.7675187804,1.801117023,5.2920,6.46
6227,HD 10072,SB*,0.7746848957,0.433495322,12.3592,5.008
6228,HD 102510,**,0.1439179772,3.088861553,16.4396,5.316
6229,HD 41759,*,-0.6198300687,1.594589425,11.6885,5.795
6230,HD 1227,**,0.1438178749,0.07228876374,7.3453,6.121
6231,HD 147971,SB*,-0.8299877243,4.307402898,5.2390,4.521
6232,HD 214976,*,0.9033559513,5.938683381,1.5078,6.74
6233,HD 80404,V*,-1.034547964,2.430764181,4.26,2.26
6234,HD 14262,*,0.4043543877,0.606351908,10.6485,6.441
6235,HD 24809,dS*,0.6076183783,1.038699539,15.6621,6.530
6236,HD 124915,*,-0.1155677247,3.736559556,16.2866,6.434
6237,Cl Lynga 2,OpC,-1.070375524,3.771394714,1.034,6.4
6238,HD 65737,*,0.2206409586,2.097044451,7.1916,6.59
6239,HD 39660,*,0.7212279557,1.553095782,7.9762,6.630
6240,HD 22262,**,-0.5424505498,0.933517835,23.7697,6.20
6241,HD 59780,*,-1.013562835,1.955599052,4.6162,6.51
6242,HD 46769,*,0.01553723694,1.72466372,1.302,5.86
6243,HD 48144,*,0.1291164503,1.755302303,2.0564,6.88
6244,HD 28625,*,-0.2372316293,1.178824734,7.2184,6.219
6245,HD 173764,SB*,-0.08286601709,4.918226874,4.8549,4.22
6246,HD 45654,*,-0.01258550383,1.695750449,13.7616,6.86
6247,HD 25575,PM*,-0.3943476979,1.059345957,8.169,6.90
6248,HD 82412,PM*,-0.2105284163,2.493530811,8.0893,6.99
6249,HD 31623,*,-0.01862714176,1.297157138,11.2082,6.241
6250,HD 117150,*,-0.8930000073,3.531764954,7.1201,5.030
6251,HD 75129,*,-0.8299019364,2.2965194,0.9885,6.866
6252,HD 90957,PM*,-0.5177315585,2.746637231,8.7742,5.565
6253,HD 13928,PM*,-1.33733597,0.568993845,11.4197,6.64
6254,HD 186957A,*,-1.033124387,5.195612543,~,5.61
6255,HD 209615,*,0.1787277232,5.779300046,6.5686,6.93
6256,HD 26573,*,0.01283839481,1.100232315,8.7285,6.57
6257,HD 154905,SB*,0.9506918735,4.473875968,36.7902,5.69
6258,HD 100493A,PM*,-0.7083698757,3.026483643,~,6.11
6259,HD 193968,PM*,0.2171775348,5.335247013,7.2614,6.74
6260,HD 28204,SB*,1.26586297,1.193418334,9.8596,5.928
6261,HD 62,*,-0.1337867744,0.02387045448,3.7201,6.96
6262,HD 112559,C*,1.151819431,3.387823067,2.4891,6.34
6263,HD 4667,*,1.235242219,0.218331736,5.2206,6.89
6264,HD 72884,*,0.4197717636,2.251654334,4.3973,6.99
6265,HD 10315,*,-0.04576058669,0.4397037924,3.7357,6.73
6266,HD 8710,PM*,0.7625670882,0.378381566,14.4599,6.89
6267,HD 212010,RG*,-0.3769602281,5.853802905,17.3475,5.124
6268,HD 23363,*,-0.02029976686,0.9796031677,4.6032,5.25
6269,HD 68279,*,-1.065999015,2.130240132,5.7791,6.81
6270,HD 193944,*,0.9354212147,5.325482511,2.1924,6.197
6271,HD 16219,SB*,0.6963182935,0.6865572903,3.9248,6.522
6272,HD 37227,*,-0.9962886192,1.455494809,8.5441,6.73
6273,HD 205011,SB*,0.4161766011,5.636696779,6.1484,6.42
6274,HD 130766,*,0.4389658708,3.880072736,3.7815,6.678
6275,HD 135160,Be*,-1.062975328,3.999472141,1.2190,5.81
6276,HD 57742,*,1.157704315,1.952284379,4.3044,6.462
6277,HD 153221A,PM*,-0.8490634585,4.452550171,~,6.22
6278,HD 222272,PM*,-1.156345844,6.194545857,4.4633,6.92
6279,HD 199956,*,0.7689999415,5.493106846,4.4498,6.638
6280,HD 10934,*,-0.886910954,0.4629460665,4.73,5.49
6281,HD 182422,*,0.3536797967,5.07795763,2.9011,6.393
6282,HD 143658,a2*,-0.9374230937,4.207793966,4.2772,6.47
6283,HD 194375,*,1.405545273,5.298974128,7.9531,6.86
6284,HD 8949,PM*,0.1389518622,0.3856389167,8.4739,6.214
6285,HD 160032,PM*,-0.8624646274,4.626855163,47.7045,4.77
6286,HD 49120,*,0.3785888423,1.779327911,2.694,6.80
6287,HD 24357,PM*,0.3024146892,1.017384869,23.1939,5.946
6288,HD 75370,*,1.44417042,2.368039349,9.0855,6.99
6289,HD 91992,PM*,-0.2050520756,2.780273326,14.0972,6.514
6290,HD 18730,*,0.6785530904,0.7936298708,5.6701,6.65
6291,HD 93497B,PM*,-0.8625398861,2.822077052,~,5.58
6292,HD 86030,V*,-0.3048997771,2.598750328,3.1064,6.88
6293,HD 136066,*,0.03636044431,4.007712295,~,7.0
6294,HD 102036,*,-0.361209238,3.073508164,10.646,6.84
6295,HD 147628,**,-0.6556511648,4.295819204,7.6536,5.42
6296,HD 14940,gD*,-0.2836910719,0.6290142859,17.1814,6.67
6297,HD 34498,*,0.7753692159,1.39643202,4.0843,6.480
6298,HD 105382,Be*,-0.8842059815,3.176879013,9.1857,4.47
6299,HD 122797,*,0.08553810306,3.682336042,15.4287,6.238
6300,HD 11559,SB*,0.05563293725,0.495479848,16.6641,4.604
6301,HD 22764,*,1.046663301,0.9717656567,1.8433,5.78
6302,HD 30210,PM*,0.2043010298,1.248036981,15.4229,5.346
6303,HD 191889,SB*,-0.6710451949,5.295174044,14.9876,6.89
6304,HD 56813,*,-0.816369611,1.903534126,4.1499,5.622
6305,HD 223825,**,-0.05507354263,6.252319391,6.1414,5.940
6306,HD 21626,PM*,-0.7654295597,0.9063918639,15.2345,6.716
6307,HD 87303,*,-0.5801175104,2.632796105,3.8332,6.61
6308,HD 220222,**,0.5552322659,6.117010728,4.7612,5.348
6309,HD 62140,a2*,1.096599498,2.035302229,10.5523,6.458
6310,HD 155860A,*,0.8682377287,4.501514894,10.6511,6.16
6311,HD 26311,*,0.5861998711,1.095123143,4.1206,5.74
6312,HD 62318,*,-0.778978259,2.013071756,2.7252,6.406
6313,HD 95456,PM*,-0.5557018394,2.882759116,32.3968,6.051
6314,HD 183324,dS*,0.034041759,5.100796511,16.5652,5.783
6315,HD 108680,LP*,-0.04240389395,3.268833778,2.4419,6.90
6316,HD 98230,SB*,0.5502869043,2.959121099,114.4867,4.77
6317,HD 45669,*,-1.221452002,1.669572927,4.9606,5.542
6318,HD 54895,LP?,0.8976009271,1.891020587,4.4893,5.50
6319,HD 24661,PM*,-0.4829124782,1.022278255,8.3255,6.99
6320,HD 39764,El?,-0.5899450798,1.540753511,9.466,4.87
6321,HD 161270,*,0.0450198578,4.645055006,10.3273,6.180
6322,HD 143346,HB*,-1.2636341,4.214666114,11.3858,5.685
6323,HD 210563,*,-1.189029674,5.81944886,3.7836,6.82
6324,HD 158320,SB*,-0.5884614036,4.581899398,0.853,6.73
6325,HD 122106,**,-0.0619557256,3.664411528,11.6103,6.394
6326,HD 225292,SB*,0.4830162199,0.02190272491,7.1975,6.462
6327,HD 4628,PM*,0.09216409639,0.2111103703,134.4948,5.74
6328,HD 144359,SB*,0.5965324464,4.207224027,6.7196,6.770
6329,HD 70499,*,-0.1875900628,2.190169915,10.8648,6.77
6330,HD 183632,*,-0.2541761289,5.109320334,4.5296,6.94
6331,* 32 Eri,**,-0.05156984206,1.022290379,10.42,4.45
6332,HD 140274A,PM*,-0.8863734999,4.123308829,8.936,6.60
6333,HD 34411,PM*,0.6998604741,1.392516431,79.6021,4.71
6334,HD 69194,V*,-0.8760867839,2.153608794,4.1002,5.514
6335,HD 33646A,*,0.0180994734,1.360291449,4.1291,6.15
6336,HD 92841A,*,0.08286247402,2.80713818,4.6773,6.09
6337,NGC 2546,OpC,-0.6573084496,2.14818615,1.034,6.3
6338,HD 69830,PM*,-0.2204729833,2.174676391,79.4953,5.95
6339,HD 28319,dS*,0.2769990178,1.17226069,21.8125,3.410
6340,HD 139598,PM*,-0.7788155809,4.105262831,11.5355,6.87
6341,HD 29935,Y*O,0.4004555287,1.238747505,8.1687,6.92
6342,HD 192086,*,-0.005773520173,5.293032294,4.2607,6.51
6343,HD 130144,LP?,0.2640993981,3.866336458,5.1084,5.63
6344,HD 155454,*,-1.444776559,4.575961762,1.473,6.64
6345,HD 36554,*,1.228091495,1.478035472,5.2205,6.96
6346,HD 195835,*,0.4749418409,5.379335389,2.6636,6.88
6347,HD 24118,SB*,0.4391759362,1.009767067,5.4197,6.79
6348,HD 194193,*,0.7160389978,5.335274854,3.3097,5.93
6349,HD 122250,LP*,-1.340356349,3.688453828,8.3808,5.50
6350,HD 25874,SB*,-1.07088151,1.057886193,38.4266,6.73
6351,HD 57192,EB*,-0.4355593066,1.916427211,1.2514,6.807
6352,HD 37468,Y*O,-0.04537993345,1.478058648,3.04,3.79
6353,HD 158614A,PM*,-0.01855322749,4.583220064,60.7132,5.981
6354,HD 217295,*,1.276420445,6.011791669,6.4052,6.528
6355,HD 74486,*,0.09225540764,2.288648232,8.5855,6.87
6356,HD 222940,*,0.3733232452,6.21802516,3.6327,6.72
6357,HD 11451,*,0.8716691683,0.4969983016,4.01,6.86
6358,HD 74496,*,-0.829403621,2.279713114,9.3681,6.724
6359,HD 199661,Pu*,0.9928744863,5.481570967,3.0904,6.218
6360,BD+27 3016A,*,0.4781292659,4.821360358,~,6.57
6361,HD 148527,*,-1.452809894,4.389047757,3.4808,6.557
6362,HD 183806,a2*,-0.7901415541,5.119750456,8.2532,5.583
6363,HD 93526,*,-0.2663713113,2.825828687,3.4688,6.667
6364,HD 36695,SB*,-0.02017726401,1.455273456,2.2654,5.34
6365,HD 196362,SB*,0.4517375851,5.393673802,4.999,6.406
6366,Cl Melotte 20 772,*,0.8555521665,0.9074920815,0.4559,4.989
6367,HD 12005,*,1.359895321,0.5364727986,3.3039,6.046
6368,HD 167818,*,-0.4719831679,4.7911609,4.4860,4.627
6369,HD 64287,*,-0.7521537187,2.056604284,1.9847,6.330
6370,HD 177649,*,0.3341307474,4.995466954,3.6783,6.56
6371,HD 47973,V*,-0.841600971,1.739339554,6.6547,5.03
6372,HD 25904,*,1.405614648,1.125141391,4.3611,6.38
6373,HD 211971,*,1.049776807,5.844361679,0.8872,6.910
6374,HD 165401,PM*,0.08128287801,4.736929341,41.4741,6.786
6375,HD 109040,*,-0.7165472767,3.281162116,4.3033,6.96
6376,HD 212474,PM*,-0.02071136138,5.866914802,6.2515,6.74
6377,HD 178329,SB*,0.7228068536,5.001607196,2.7932,6.496
6378,HD 59730,V*,-0.1764096245,1.967764948,3.2128,6.610
6379,HD 138690A,SB*,-0.718496062,4.080320813,~,3.48
6380,HD 81411,**,-0.6881048035,2.462098571,6.71,6.049
6381,HD 28503,*,0.6983093792,1.184212827,3.3861,6.78
6382,HD 90533,LP*,-0.9597339595,2.730450517,2.1686,6.99
