#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
4996,HD 11443,SB*,0.5162477746,0.4934122458,51.3310,3.42
4997,HD 102574,PM*,-0.1799976296,3.090940834,22.412,6.226
4998,HD 90386,dS*,0.06863558764,2.732109441,7.4783,6.66
4999,HD 43587,SB*,0.08901133005,1.646145805,51.6165,5.70
5000,HD 212404,**,-0.0844219117,5.86480693,8.04,5.779
5001,HD 28497,Be*,-0.227736998,1.174237552,2.1159,5.41
5002,HD 174387,V*,-0.8132382625,4.941261988,4.0175,5.490
5003,HD 205113,SB*,1.03704252,5.633148438,19.5642,6.87
5004,HD 158170,PM*,-0.1432631899,4.572932669,10.7359,6.372
5005,HD 140619,*,-0.850618006,4.130638742,2.6413,6.76
5006,HD 113092,RG*,1.162341615,3.403033635,5.1147,5.368
5007,HD 62976,*,1.053168776,2.051331312,7.55,6.782
5008,HD 35505,*,-0.296283194,1.415788327,14.1888,5.636
5009,HD 205905,PM*,-0.4765896055,5.668694944,37.8872,6.74
5010,HD 74455,**,-0.8394876047,2.278832227,0.9479,5.468
5011,HD 133484,**,0.7791934227,3.940558785,16.7819,6.65
5012,HD 130572,*,-0.9314528396,3.887049248,7.2336,6.55
5013,HD 194668,*,0.9346574615,5.343061227,2.3495,6.479
5014,HD 9065,dS*,-0.5892924403,0.3871352277,10.6959,6.577
5015,HD 175493,SB*,0.3952311253,4.951272558,7.5501,4.60
5016,HD 11160,PM*,1.364785909,0.5004221623,5.9961,6.67
5017,HD 92304,PM*,-1.251254423,2.779542509,8.1084,6.91
5018,HD 197541A,gD*,-0.5319450946,5.434071769,16.9911,6.78
5019,HD 199532,SB*,-1.34431836,5.518372043,22.1774,5.15
5020,HD 54070,*,1.25343587,1.893539478,7.5517,6.359
5021,HD 23274,*,-0.8338438454,0.9676069645,8.5452,6.96
5022,HD 32436,PM*,-0.4585857486,1.318437827,14.1398,5.002
5023,HD 47417,*,0.1204606004,1.740087877,0.7151,6.95
5024,HD 213420,SB*,0.7526449038,5.892614123,2.8367,4.511
5025,HD 133937,Pu*,-0.7481863982,3.964747963,6.9353,5.820
5026,HD 217251,*,-0.2281301949,6.01961676,4.5825,6.100
5027,HD 145597,*,-0.8540379985,4.250444395,4.498,6.757
5028,HD 18650,PM*,-0.504525996,0.7815071322,7.9451,6.131
5029,HD 202606,*,-0.231761777,5.57294793,5.9490,6.402
5030,HD 100198,sg*,-1.069511039,3.01615045,0.1297,6.40
5031,HD 57749,dS*,-0.1044200631,1.930435231,3.8939,5.816
5032,HD 195340,*,0.3432642121,5.367234275,2.0224,6.86
5033,HD 12512,*,0.1923136162,0.5365121071,4.3935,6.52
5034,HD 105205,PM*,-0.2136430828,3.171214015,12.1228,6.76
5035,HD 17902,PM*,0.8930316404,0.7608774333,7.6277,6.543
5036,HD 88539,C*,-0.6165329512,2.669904336,1.2235,6.74
5037,HD 72462,**,-0.2623257646,2.236447948,11.6525,6.380
5038,HD 170829,SB*,0.3632911014,4.846317605,28.5239,6.48
5039,HD 448,PM*,0.3178587563,0.03944624047,10.8284,5.555
5040,HD 21760,*,-0.3927946102,0.9155024035,10.8444,6.78
5041,HD 63852,V*,-0.5810017887,2.048973021,4.6797,5.585
5042,HD 99267,Em*,0.5233780378,2.991655106,10.6687,6.876
5043,HD 20888,PM*,-1.168093926,0.8638707007,16.6526,6.022
5044,HD 162486,*,0.09126384366,4.673474374,3.7275,6.82
5045,HD 62226,SB*,-0.6725370255,2.012641886,5.2199,5.393
5046,HD 60585,PM*,-0.4097142503,1.982349119,32.7919,5.795
5047,* iot Oct B,PM*,-1.48568469,3.381454459,~,6.75
5048,HD 183262,PM*,0.3114835011,5.096820421,10.8508,6.867
5049,HD 207203,*,0.04688168182,5.703878685,6.4928,5.624
5050,HD 117200,PM*,1.129848052,3.521536959,14.4979,6.608
5051,HD 180555,**,0.2538513654,5.045950059,8.2599,5.63
5052,HD 73752A,PM*,-0.3955195992,2.265142235,~,5.37
5053,HD 181597,*,0.8651501979,5.055482306,7.2542,6.317
5054,HD 149837,PM*,-1.054989511,4.366994377,31.3707,6.24
5055,HD 68951,*,1.263744592,2.184593844,3.5668,5.98
5056,HD 3074A,PM*,-0.610901527,0.1471754549,29.4566,6.57
5057,HD 190229,SB*,0.279798136,5.25126046,4.9546,5.658
5058,HD 216946,s*r,0.8680140929,6.005823283,1.4018,4.94
5059,HD 84152,PM*,-0.9993671045,2.53525133,8.9533,5.794
5060,HD 212047,LP*,0.4701072378,5.851220515,4.4029,6.480
5061,HD 149274,*,-0.6235126969,4.342512936,6.8424,6.64
5062,HD 26482,*,0.8568506,1.106909889,8.7268,6.920
5063,HD 182709,*,-1.194397228,5.1102492,2.8415,5.961
5064,HD 57853,PM*,-0.9129685379,1.921451673,29.4762,6.443
5065,HD 153882,a2*,0.260921817,4.457356491,6.2020,6.31
5066,HD 21903A,*,1.047920744,0.9381880535,19.7992,6.79
5067,HD 109051,*,1.244418471,3.276386265,5.4799,6.94
5068,HD 188507,SB*,0.3914636064,5.213034477,2.6544,6.717
5069,HD 212168A,PM*,-1.309270744,5.87238971,42.7219,6.119
5070,HD 175652,SB*,-1.050752889,4.97504218,4.3738,6.89
